"act","prompt"
"Team Aktivitet","Skapa 3 annons-texter för Facebook Ads för varje steg (Awareness, consideration, conversions) i en tabell med headlines på max 27 tecken, beskrivningar med max 125 tecken och CTA. Inspiration på annons: På The Amazing Society förenar vi kreativitet, media och produktion för att skapa effektfulla, kreativa lösningar. (Läs mer om våra case här!)"
"Dagens Nyhet","Skapa annons-texter för Google search, I en tabell med 20 headlines på max 30 tecken. (Ge gärna sök ord också innan skapelsen av annonser)"
